commit	message	characters	characters %
0ab6fd623757e034e86d87df07efaa38626f765e	We the People	19150	49.86
58f70c9ebc843cbf9384db87a92633e238e013ee	Draft	6430	16.74
7f340829cfc2ea844de1adfa4d9618d2adb6f932	Bill of Rights	2743	7.14
90025bf2e2b2ba0f762136012e3cf1d60510e49f	Amendement XXV	2359	6.14
d76baa1a4d69eedf2658225064b40f94a5deed26	Amendment XIV	2267	5.9
0cdbb927a04363d0bfd61bcfa35954e873f6dd91	Amendment XX	1238	3.22
404f89afabb6bf20a93f5d9406c42fb71a4b703e	Amendment XII	1094	2.85
5688cf92cdaf33df4ca3582d949aa3a0d8729021	Amendment XXII	691	1.8
125798b7e1993603050fa43db53a44e50e658d28	Amendment XXIII	675	1.76
dcb04e72a52f251cba092eb88b905d6d0b9a8d7b	Amendment XVII	381	0.99
018144fc3d18592f1484bc7f9c932ef5e86dfd9d	Amendment XXIV	337	0.88
55d98166e73290b3dcbfd39175b9aebbcd03d6fd	Amendment XII	213	0.55
29306b2f0e690e84633ded9b9c041f4517a52556	Amendment XVI	193	0.5
c185d474b24870d356ede83d41c787afea8f3540	Amendment XV	187	0.49
3cdfe67a179375d54e33b76122a70532c7915d0c	Amendment XXVII	169	0.44
e04f1c0f38a21cee805e2d298ea147e3a68fcc6c	Amendment XXI	137	0.36
7868b033b9251a802bbd302eb49c25dc0cd3e169	Amendment XVII	88	0.23
3f71e02c8544f05c02649de907905c4132613e61	Amendment XXVI	47	0.12
8f9ef40f7b4dd7603a3f3ce2b22207c50a625609	Amendment XIX	5	0.01
